userId,movieId,rating,title
106362,32296,2.0,Miss Congeniality 2: Armed and Fabulous
40858,5025,3.5,Orange County
6063,33493,3.0,Star Wars: Episode III - Revenge of the Sith
95075,41571,3.0,Memoirs of a Geisha
146347,1129,4.0,Escape from New York
89538,6538,3.5,Swimming Pool
50882,89745,5.0,Avengers
11932,53125,3.0,Pirates of the Caribbean: At World's End
157019,64983,4.0,Valkyrie
127966,1240,4.0,Terminator
110466,8984,3.5,Ocean's Twelve
80247,4069,3.0,Wedding Planner
23462,2671,3.0,Notting Hill
135937,3471,3.0,Close Encounters of the Third Kind
75830,2713,4.0,Lake Placid
66541,733,3.0,Rock
121814,296,5.0,Pulp Fiction
78308,2291,2.0,Edward Scissorhands
25151,4564,4.0,Always
59951,8958,4.0,Ray
98781,858,4.0,Godfather
24692,588,4.5,Aladdin
95886,4322,4.0,Eight Men Out
82730,2082,3.0,Mighty Ducks
46881,1485,2.5,Liar Liar
148291,8810,0.5,AVP: Alien vs. Predator
73723,508,3.5,Philadelphia
17047,103772,3.5,Wolverine
90854,40581,2.5,Just Friends
43840,802,3.0,Phenomenon
33138,1909,1.5,X-Files: Fight the Future
129924,3977,5.0,Charlie's Angels
85757,3614,3.0,Honeymoon in Vegas
50335,45517,5.0,Cars
84456,139385,3.5,The Revenant
122544,37727,2.5,Flightplan
11466,1866,3.5,Big Hit
35963,293,5.0,Léon: The Professional (a.k.a. The Professional) (Léon)
11579,3910,3.5,Dancer in the Dark
98873,3755,3.0,Perfect Storm
115276,953,4.5,It's a Wonderful Life
3248,1614,4.0,In & Out
159841,110,4.0,Braveheart
19886,4388,3.0,Scary Movie 2
17130,34,1.0,Babe
63771,474,5.0,In the Line of Fire
47548,30825,2.5,Meet the Fockers
157877,714,4.5,Dead Man
114730,5009,2.5,Ali
148741,1748,4.0,Dark City
101289,36525,4.0,Just Like Heaven
142286,3421,5.0,Animal House
157547,1573,3.0,Face/Off
115211,53996,0.5,Transformers
59254,3863,3.0,Cell
119794,2857,4.0,Yellow Submarine
124611,8581,4.0,Pirates of Silicon Valley
146221,3248,3.0,Sister Act 2: Back in the Habit
78280,158966,4.5,Captain Fantastic
131506,2640,4.0,Superman
9826,177765,4.0,Coco
142533,441,3.0,Dazed and Confused
36324,95441,4.0,Ted
87375,6663,4.0,Pink Panther Strikes Again
34365,372,3.5,Reality Bites
46450,480,3.0,Jurassic Park
43954,4085,4.0,Beverly Hills Cop
37945,34534,3.0,Four Brothers
9852,1028,4.0,Mary Poppins
30779,7073,4.0,"Shot in the Dark, A"
25296,70159,2.0,Orphan
33565,6936,3.0,Elf
149015,2572,2.5,10 Things I Hate About You
102443,115122,4.0,What We Do in the Shadows
140664,72641,4.0,Blind Side
78623,5574,2.5,Transporter
36330,159093,3.5,Now You See Me 2
86723,534,4.0,Shadowlands
54042,5650,3.5,Strange Brew
140463,5903,4.5,Equilibrium
124473,2324,1.0,Life Is Beautiful (La Vita è bella)
22952,4975,3.5,Vanilla Sky
65659,119155,3.0,Night at the Museum: Secret of the Tomb
150223,2916,3.0,Total Recall
116035,1391,3.0,Mars Attacks!
14116,76251,3.0,Kick-Ass
38862,4367,2.0,Lara Croft: Tomb Raider
104927,349,4.0,Clear and Present Danger
26964,4034,3.5,Traffic
113791,3744,4.5,Shaft
32808,7293,4.0,50 First Dates
118390,32587,2.5,Sin City
64610,1957,3.0,Chariots of Fire
8472,4085,4.0,Beverly Hills Cop
161383,432,3.5,City Slickers II: The Legend of Curly's Gold
97452,50872,2.5,Ratatouille
78616,5419,5.0,Scooby-Doo
57813,1178,2.5,Paths of Glory
34217,3981,3.0,Red Planet
65534,1230,5.0,Annie Hall
16105,3555,5.0,U-571
116171,762,2.5,Striptease
57548,5110,3.0,Super Troopers
142286,41997,3.0,Munich
22459,3827,3.0,Space Cowboys
143345,303,2.0,Quick and the Dead
79677,3261,4.0,Singles
5572,671,3.0,Mystery Science Theater 3000: The Movie
93913,64969,3.5,Yes Man
132830,3897,4.0,Almost Famous
5215,68793,2.0,Night at the Museum: Battle of the Smithsonian
131802,6663,3.5,Pink Panther Strikes Again
145626,14,3.5,Nixon
21263,8368,3.5,Harry Potter and the Prisoner of Azkaban
137198,780,3.0,Independence Day (a.k.a. ID4)
37635,2734,4.0,Mosquito Coast
61805,56156,3.5,Hitman
92435,2716,3.0,Ghostbusters (a.k.a. Ghost Busters)
117574,55995,4.0,Beowulf
95886,1210,4.5,Star Wars: Episode VI - Return of the Jedi
41487,72641,3.5,Blind Side
155853,4887,3.0,One
119561,4367,0.5,Lara Croft: Tomb Raider
45380,3983,4.0,You Can Count on Me
134630,4343,3.0,Evolution
45117,1,4.0,Toy Story
94751,521,3.5,Romeo Is Bleeding
12905,5882,4.0,Treasure Planet
67966,2115,4.0,Indiana Jones and the Temple of Doom
26223,2069,3.0,Trip to Bountiful
83845,3996,4.5,"Crouching Tiger, Hidden Dragon (Wo hu cang long)"
44046,106002,4.0,Ender's Game
88367,552,3.5,Three Musketeers
121477,101142,3.5,Croods
78090,3968,2.0,Bedazzled
84743,40815,4.5,Harry Potter and the Goblet of Fire
64816,1238,4.0,Local Hero
